FIPS,County Name,State Name,7 day increase in cases,14 day increase in cases,7 day increase in deaths,14 day increase in deaths,total cases,total deaths,Total Population,at risk pop,percent at risk
01001,Autauga,Alabama,74,322,1,2,1764,25,55200,8050,14.583333333333334
01003,Baldwin,Alabama,416,696,1,7,5477,50,208107,40665,19.540428721763323
01005,Barbour,Alabama,47,260,0,0,882,7,25782,4634,17.97378015669847
01007,Bibb,Alabama,22,76,0,4,654,10,22527,3661,16.251609180095
01009,Blount,Alabama,60,490,1,2,1611,15,57645,10233,17.75175644028103
01011,Bullock,Alabama,17,46,0,1,604,14,10352,1616,15.610510046367851
01013,Butler,Alabama,3,46,1,2,912,39,20025,3806,19.006242197253435
01015,Calhoun,Alabama,177,742,5,13,3515,44,115098,19386,16.843038106656934
01017,Chambers,Alabama,34,301,0,2,1164,42,33826,6409,18.94696387394312
01019,Cherokee,Alabama,43,201,-3,2,608,13,25853,5621,21.742157583259196
01021,Chilton,Alabama,100,341,3,16,1585,30,43930,6927,15.768267698611426
01023,Choctaw,Alabama,2,16,0,0,347,12,13075,2884,22.05736137667304
01025,Clarke,Alabama,42,156,-1,2,1091,16,24387,4626,18.969122893344814
01027,Clay,Alabama,43,150,1,1,585,8,13378,2652,19.823590970249665
01029,Cleburne,Alabama,57,99,-1,-1,380,5,14938,2803,18.76422546525639
01031,Coffee,Alabama,71,304,-2,1,1348,6,51288,8375,16.329355794727814
01033,Colbert,Alabama,40,133,0,3,1646,26,54495,10502,19.271492797504358
01035,Conecuh,Alabama,12,91,0,0,535,11,12514,2707,21.631772414895316
01037,Coosa,Alabama,7,54,0,0,171,3,10855,2368,21.814831874712116
01039,Covington,Alabama,92,559,0,2,1401,27,37351,7650,20.481379347273165
01041,Crenshaw,Alabama,14,116,1,2,537,32,13865,2542,18.333934367111432
01043,Cullman,Alabama,54,375,3,5,1899,20,82313,14803,17.98379356845213
01045,Dale,Alabama,56,295,1,2,1386,44,49255,7939,16.118160592833213
01047,Dallas,Alabama,42,315,0,1,1790,26,40029,6705,16.75035599190587
01049,DeKalb,Alabama,61,261,2,5,2416,21,71200,11619,16.3188202247191
01051,Elmore,Alabama,118,454,1,4,2667,48,81212,11770,14.492932079003104
01053,Escambia,Alabama,46,308,-1,1,1608,24,37328,6476,17.348906986712386
01055,Etowah,Alabama,135,604,-2,2,3490,45,102939,18877,18.33804486151993
01057,Fayette,Alabama,36,104,-1,1,457,8,16585,3392,20.452215857702743
01059,Franklin,Alabama,28,109,1,1,1771,29,31542,5100,16.16891763363135
01061,Geneva,Alabama,53,207,0,1,625,4,26491,5152,19.4481144539655
01063,Greene,Alabama,3,21,0,1,303,15,8426,1716,20.365535248041773
01065,Hale,Alabama,20,79,0,1,635,28,14887,2717,18.250822865587427
01067,Henry,Alabama,33,144,1,2,505,5,17124,3696,21.58374211632796
01069,Houston,Alabama,195,895,-1,6,2903,21,104352,17615,16.880366452008584
01071,Jackson,Alabama,69,213,0,3,1575,11,52094,9972,19.14231965293508
01073,Jefferson,Alabama,661,2269,14,41,19676,351,659892,99146,15.024579779721531
01075,Lamar,Alabama,21,75,0,0,367,2,13933,2938,21.086628866719302
01077,Lauderdale,Alabama,67,186,0,3,1713,33,92585,17876,19.307663228384726
01079,Lawrence,Alabama,35,88,3,11,620,23,33171,5787,17.445961834132223
01081,Lee,Alabama,184,2284,1,11,5897,60,159287,17739,11.136502037203288
01083,Limestone,Alabama,106,305,1,2,2101,20,93052,13723,14.747667970597087
01085,Lowndes,Alabama,5,49,0,2,653,27,10236,1828,17.85853849159828
01087,Macon,Alabama,3,60,-2,1,480,18,19054,3542,18.589272593681116
01089,Madison,Alabama,298,1035,3,13,7881,78,357560,51308,14.349479807584743
01091,Marengo,Alabama,21,60,1,2,720,20,19538,3690,18.886272904084347
01093,Marion,Alabama,22,177,1,2,964,29,29965,6219,20.754213248790254
01095,Marshall,Alabama,108,399,0,2,3943,43,95145,15941,16.754427452835145
01097,Mobile,Alabama,307,845,3,14,13373,292,414659,63650,15.349962258144645
01099,Monroe,Alabama,14,144,0,0,589,8,21512,4060,18.87318705838602
01101,Montgomery,Alabama,160,685,11,18,8834,184,226941,32183,14.181218907116827
01103,Morgan,Alabama,95,330,2,4,3292,28,119122,19865,16.676180722284716
01105,Perry,Alabama,4,54,0,1,541,6,9486,1764,18.59582542694497
01107,Pickens,Alabama,27,98,0,2,662,14,20298,3729,18.37126810523204
01109,Pike,Alabama,43,316,1,3,1198,10,33403,4886,14.627428674071192
01111,Randolph,Alabama,39,142,1,2,647,13,22574,4512,19.987596349782937
01113,Russell,Alabama,47,185,1,1,1760,3,58213,7776,13.357841032071875
01117,Shelby,Alabama,294,1335,-1,9,5978,49,211261,30125,14.259612517218038
01115,St. Clair,Alabama,88,497,0,3,2322,35,87306,13891,15.910704877098938
01119,Sumter,Alabama,20,33,0,0,438,19,12985,2198,16.927223719676547
01121,Talladega,Alabama,97,800,3,7,2166,29,80565,13757,17.075653199280083
01123,Tallapoosa,Alabama,24,204,2,2,1160,85,40636,8274,20.361256029136726
01125,Tuscaloosa,Alabama,1381,3054,4,22,8621,118,206213,25685,12.455567786705979
01127,Walker,Alabama,90,282,4,8,2316,84,64493,12024,18.6438838323539
01129,Washington,Alabama,11,50,0,0,557,13,16643,3038,18.25392056720543
01131,Wilcox,Alabama,0,51,0,0,531,11,10809,1985,18.364326024609124
01133,Winston,Alabama,35,121,0,0,744,12,23875,5027,21.055497382198954
02013,Aleutians East,Alaska,0,0,0,0,2,0,3425,302,8.817518248175183
02016,Aleutians West,Alaska,1,1,0,0,8,0,5750,334,5.808695652173913
02020,Anchorage,Alaska,293,587,3,4,4131,31,296112,29492,9.95974496136597
02050,Bethel,Alaska,12,27,0,0,107,1,18040,1284,7.117516629711752
02060,Bristol Bay,Alaska,0,0,0,0,10,0,890,85,9.550561797752808
02068,Denali,Alaska,4,4,0,0,6,0,2232,162,7.258064516129033
02070,Dillingham,Alaska,1,2,0,0,8,0,4975,430,8.64321608040201
02090,Fairbanks North Star,Alaska,99,193,2,2,1065,11,99653,9124,9.1557705237173
02100,Haines,Alaska,0,1,0,0,5,0,2518,614,24.384432088959493
02105,Hoonah-Angoon,Alaska,0,0,0,0,0,0,2132,415,19.465290806754222
02110,Juneau,Alaska,20,52,0,0,287,1,32330,3877,11.99195793380761
02122,Kenai Peninsula,Alaska,11,21,1,1,447,3,58220,9092,15.6166265888011
02130,Ketchikan Gateway,Alaska,0,1,0,0,49,0,13804,1950,14.126340191248913
02150,Kodiak Island,Alaska,2,3,0,0,22,0,13649,1248,9.143526998314895
02158,Kusilvak,Alaska,1,3,0,0,12,0,8198,456,5.562332276164918
02164,Lake and Peninsula,Alaska,0,0,0,0,0,0,1375,109,7.927272727272728
02170,Matanuska-Susitna,Alaska,16,58,0,0,595,2,103464,11030,10.660712904971778
02180,Nome,Alaska,9,16,0,0,66,0,9925,742,7.476070528967255
02185,North Slope,Alaska,34,59,0,0,120,0,9797,627,6.399918342349699
02188,Northwest Arctic,Alaska,15,32,0,0,106,0,7734,596,7.706232221360228
02195,Petersburg,Alaska,0,0,0,0,7,1,3255,701,21.53609831029186
02198,Prince of Wales-Hyder,Alaska,1,1,0,0,31,0,6474,960,14.828544949026876
02220,Sitka,Alaska,1,5,0,0,45,0,8738,1268,14.511329823758299
02230,Skagway,Alaska,0,0,0,0,0,0,1061,120,11.310084825636192
02240,Southeast Fairbanks,Alaska,4,5,0,0,26,0,6876,886,12.885398487492727
02261,Valdez-Cordova,Alaska,0,1,0,0,76,0,9301,1152,12.38576497150844
02275,Wrangell,Alaska,0,1,0,0,13,0,2484,548,22.06119162640902
02282,Yakutat,Alaska,2,3,0,0,24,0,689,85,12.336719883889694
02290,Yukon-Koyukuk,Alaska,1,5,1,1,80,2,5415,739,13.647276084949214
04001,Apache,Arizona,74,139,2,7,3525,165,71522,10420,14.568943821481502
04003,Cochise,Arizona,20,41,2,4,1901,71,126279,26550,21.024873494405245
04005,Coconino,Arizona,296,490,11,12,4040,144,140217,16259,11.595598251281942
04007,Gila,Arizona,71,136,5,5,1304,56,53400,14783,27.683520599250937
04009,Graham,Arizona,26,44,1,1,818,25,37879,5012,13.231605903006944
04011,Greenlee,Arizona,1,1,0,0,59,1,9504,1155,12.152777777777777
04012,La Paz,Arizona,9,18,0,0,544,15,20701,7847,37.906381334235064
04013,Maricopa,Arizona,1107,3456,102,209,140963,3363,4253913,615277,14.463788986751727
04015,Mohave,Arizona,82,188,5,10,3978,227,206064,59337,28.79542278127184
04017,Navajo,Arizona,37,99,3,8,5785,235,108705,18351,16.881468193735337
04019,Pima,Arizona,719,2911,7,20,25329,622,1019722,190252,18.657241875726914
04021,Pinal,Arizona,177,355,4,12,10538,207,419721,80907,19.276376450070405
04023,Santa Cruz,Arizona,14,50,0,2,2833,63,46584,7891,16.93929246093079
04025,Yavapai,Arizona,48,105,3,2,2528,82,224645,66850,29.75806272118231
04027,Yuma,Arizona,126,279,1,8,12679,345,207829,37429,18.00951743981831
05001,Arkansas,Arkansas,50,90,3,3,404,7,18124,3342,18.439638048995807
05003,Ashley,Arkansas,9,31,1,2,431,10,20537,3980,19.379656230218632
05005,Baxter,Arkansas,64,130,1,1,337,2,41219,12650,30.689730464106358
05007,Benton,Arkansas,302,679,7,24,6528,86,258980,33925,13.099467140319716
05009,Boone,Arkansas,85,180,2,5,711,10,37288,7491,20.08957305299292
05011,Bradley,Arkansas,7,21,1,2,342,8,10948,2014,18.396054073803434
05013,Calhoun,Arkansas,2,8,0,0,36,0,5202,1082,20.799692425990006
05015,Carroll,Arkansas,40,106,0,0,652,9,27887,6102,21.88116326603794
05017,Chicot,Arkansas,11,29,3,6,1005,20,10826,2112,19.508590430445224
05019,Clark,Arkansas,28,61,0,0,338,4,22385,3593,16.05092696001787
05021,Clay,Arkansas,34,65,1,3,294,8,15061,3139,20.841909567757785
05023,Cleburne,Arkansas,14,35,0,1,328,8,25230,6697,26.54379706698375
05025,Cleveland,Arkansas,5,25,0,1,184,10,8226,1650,20.058351568198397
05027,Columbia,Arkansas,67,104,0,1,443,18,23892,4035,16.888498242089405
05029,Conway,Arkansas,18,33,0,0,264,3,20906,3931,18.80321438821391
05031,Craighead,Arkansas,334,574,2,6,2934,22,105701,14104,13.343298549682595
05033,Crawford,Arkansas,133,295,0,5,1383,15,62472,10068,16.116019976949676
05035,Crittenden,Arkansas,73,143,1,10,1944,46,49013,6495,13.251586313835103
05037,Cross,Arkansas,27,65,4,6,432,11,16998,3052,17.955053535710082
05039,Dallas,Arkansas,6,8,2,2,162,4,7432,1580,21.259418729817007
